Id,ActivityDate,Calories,TotalMinutesAsleep
1503960366,2016-04-12,1985,327
1503960366,2016-04-13,1797,384
1503960366,2016-04-15,1745,412
1503960366,2016-04-16,1863,340
1503960366,2016-04-17,1728,700
1503960366,2016-04-19,2035,304
1503960366,2016-04-20,1786,360
1503960366,2016-04-21,1775,325
1503960366,2016-04-23,1949,361
1503960366,2016-04-24,1788,430
1503960366,2016-04-25,2013,277
1503960366,2016-04-26,1970,245
1503960366,2016-04-28,1898,366
1503960366,2016-04-29,1837,341
1503960366,2016-04-30,1947,404
1503960366,2016-05-01,1820,369
1503960366,2016-05-02,2004,277
1503960366,2016-05-03,1990,273
1503960366,2016-05-05,1959,247
1503960366,2016-05-06,1896,334
1503960366,2016-05-07,1821,331
1503960366,2016-05-08,1740,594
1503960366,2016-05-09,1819,338
1503960366,2016-05-10,1859,383
1503960366,2016-05-11,1783,285
1644430081,2016-04-29,2498,119
1644430081,2016-04-30,3846,124
1644430081,2016-05-02,2580,796
1644430081,2016-05-08,2987,137
1844505072,2016-04-15,1725,644
1844505072,2016-04-30,1763,722
1844505072,2016-05-01,1541,590
1927972279,2016-04-12,2220,750
1927972279,2016-04-13,2151,398
1927972279,2016-04-15,2221,475
1927972279,2016-04-26,2638,296
1927972279,2016-04-28,2351,166
2026352035,2016-04-12,1459,503
2026352035,2016-04-13,1521,531
2026352035,2016-04-14,1431,545
2026352035,2016-04-15,1444,523
2026352035,2016-04-16,1373,524
2026352035,2016-04-17,1214,437
2026352035,2016-04-19,1356,498
2026352035,2016-04-20,1667,461
2026352035,2016-04-21,1370,477
2026352035,2016-04-22,1399,520
2026352035,2016-04-23,1916,522
2026352035,2016-04-24,1401,555
2026352035,2016-04-25,1576,506
2026352035,2016-04-27,1593,508
2026352035,2016-04-28,1649,513
2026352035,2016-04-29,1692,490
2026352035,2016-04-30,1506,573
2026352035,2016-05-01,1447,527
2026352035,2016-05-02,1690,511
2026352035,2016-05-04,1658,538
2026352035,2016-05-05,1926,468
2026352035,2016-05-06,1736,524
2026352035,2016-05-07,1491,511
2026352035,2016-05-08,1555,541
2026352035,2016-05-09,1869,531
2026352035,2016-05-10,1141,357
2026352035,2016-05-11,1698,523
2026352035,2016-05-12,1364,456
2320127002,2016-04-23,1804,61
2347167796,2016-04-13,2038,467
2347167796,2016-04-14,2010,445
2347167796,2016-04-15,2133,452
2347167796,2016-04-17,1882,556
2347167796,2016-04-18,1944,500
2347167796,2016-04-19,2346,465
2347167796,2016-04-21,2048,460
2347167796,2016-04-22,1946,405
2347167796,2016-04-23,2629,374
2347167796,2016-04-24,2187,442
2347167796,2016-04-25,2095,433
2347167796,2016-04-26,1861,436
2347167796,2016-04-27,2194,448
2347167796,2016-04-28,1854,408
2347167796,2016-04-29,403,411
3977333714,2016-04-12,1450,274
3977333714,2016-04-13,1495,295
3977333714,2016-04-14,1433,291
3977333714,2016-04-15,1468,424
3977333714,2016-04-16,1625,283
3977333714,2016-04-17,1529,381
3977333714,2016-04-18,1584,412
3977333714,2016-04-19,1638,219
3977333714,2016-04-20,1554,152
3977333714,2016-04-21,1397,332
3977333714,2016-04-22,1481,355
3977333714,2016-04-23,1638,235
3977333714,2016-04-24,1655,310
3977333714,2016-04-25,1570,262
3977333714,2016-04-26,1551,250
3977333714,2016-04-27,1377,349
3977333714,2016-04-28,1407,261
3977333714,2016-04-29,1545,333
3977333714,2016-04-30,1650,237
3977333714,2016-05-01,1501,383
3977333714,2016-05-02,1760,230
3977333714,2016-05-03,1710,292
3977333714,2016-05-04,1628,213
3977333714,2016-05-05,1618,318
3977333714,2016-05-06,1590,323
3977333714,2016-05-07,1574,237
3977333714,2016-05-08,1633,259
3977333714,2016-05-10,1630,312
4020332650,2016-04-12,3654,501
4020332650,2016-04-16,3051,77
4020332650,2016-05-03,2828,322
4020332650,2016-05-04,3879,478
4020332650,2016-05-05,3429,226
4020332650,2016-05-06,2704,385
4020332650,2016-05-08,3089,364
4020332650,2016-05-10,2926,442
4319703577,2016-04-14,2302,535
4319703577,2016-04-15,1985,465
4319703577,2016-04-16,1884,506
4319703577,2016-04-18,1632,515
4319703577,2016-04-19,2200,461
4319703577,2016-04-20,2220,523
4319703577,2016-04-21,1792,59
4319703577,2016-04-22,1886,533
4319703577,2016-04-23,1945,692
4319703577,2016-04-24,1880,467
4319703577,2016-04-25,2314,488
4319703577,2016-04-26,2236,505
4319703577,2016-04-27,2324,286
4319703577,2016-04-28,2367,497
4319703577,2016-04-29,2175,523
4319703577,2016-04-30,2092,490
4319703577,2016-05-01,1593,484
4319703577,2016-05-02,2270,478
4319703577,2016-05-03,2235,474
4319703577,2016-05-06,2266,450
4319703577,2016-05-07,2158,507
4319703577,2016-05-08,1792,602
4319703577,2016-05-09,2345,535
4319703577,2016-05-10,2260,487
4319703577,2016-05-11,2232,529
4319703577,2016-05-12,257,302
4388161847,2016-04-15,3066,499
4388161847,2016-04-16,3073,426
4388161847,2016-04-17,2572,619
4388161847,2016-04-18,3274,99
4388161847,2016-04-19,3015,329
4388161847,2016-04-20,3083,421
4388161847,2016-04-21,3069,442
4388161847,2016-04-22,3544,82
4388161847,2016-04-23,3306,478
4388161847,2016-04-24,2885,552
4388161847,2016-04-26,2929,319
4388161847,2016-04-27,3074,439
4388161847,2016-04-28,2969,428
4388161847,2016-04-30,3283,409
4388161847,2016-05-01,2926,547
4388161847,2016-05-02,3147,368
4388161847,2016-05-04,3162,390
4388161847,2016-05-05,2899,471
4388161847,2016-05-07,4022,472
4388161847,2016-05-08,3934,529
4388161847,2016-05-09,3013,62
4388161847,2016-05-10,3061,354
4388161847,2016-05-11,2954,469
4445114986,2016-04-12,2113,429
4445114986,2016-04-13,2095,370
4445114986,2016-04-14,2194,441
4445114986,2016-04-15,2496,337
4445114986,2016-04-16,2180,462
4445114986,2016-04-17,1933,98
4445114986,2016-04-19,1954,388
4445114986,2016-04-20,1974,439
4445114986,2016-04-21,2150,436
4445114986,2016-04-22,2432,388
4445114986,2016-04-25,2070,328
4445114986,2016-04-26,2291,353
4445114986,2016-04-27,2361,332
4445114986,2016-04-28,2203,419
4445114986,2016-04-29,2196,106
4445114986,2016-04-30,2363,322
4445114986,2016-05-01,2246,439
4445114986,2016-05-02,2336,502
4445114986,2016-05-03,2421,417
4445114986,2016-05-04,2070,337
4445114986,2016-05-05,2120,462
4445114986,2016-05-06,2211,374
4445114986,2016-05-07,2123,401
4445114986,2016-05-08,2423,361
4445114986,2016-05-09,2281,457
4445114986,2016-05-10,2181,405
4445114986,2016-05-11,2499,499
4445114986,2016-05-12,1212,483
4558609924,2016-04-21,2486,126
4558609924,2016-04-26,2223,103
4558609924,2016-04-29,1918,171
4558609924,2016-05-01,1692,115
4558609924,2016-05-08,2666,123
4702921684,2016-04-12,2947,425
4702921684,2016-04-13,2898,400
4702921684,2016-04-14,2984,384
4702921684,2016-04-15,2896,253
4702921684,2016-04-16,3328,382
4702921684,2016-04-17,3394,591
4702921684,2016-04-18,3013,293
4702921684,2016-04-19,2812,457
4702921684,2016-04-20,3061,454
4702921684,2016-04-21,2729,425
4702921684,2016-04-23,3691,465
4702921684,2016-04-24,3538,480
4702921684,2016-04-25,3064,370
4702921684,2016-04-26,2784,421
4702921684,2016-04-27,2908,432
4702921684,2016-04-28,3033,442
4702921684,2016-04-29,3165,433
4702921684,2016-04-30,3115,479
4702921684,2016-05-03,3145,327
4702921684,2016-05-04,3004,412
4702921684,2016-05-05,3006,414
4702921684,2016-05-06,2859,404
4702921684,2016-05-07,3683,520
4702921684,2016-05-09,2990,435
4702921684,2016-05-10,3172,416
4702921684,2016-05-11,3069,354
4702921684,2016-05-12,1240,404
5553957443,2016-04-12,2026,441
5553957443,2016-04-13,1718,455
5553957443,2016-04-14,2324,357
5553957443,2016-04-15,2254,377
5553957443,2016-04-16,1831,651
5553957443,2016-04-17,1397,350
5553957443,2016-04-18,1683,520
5553957443,2016-04-19,2284,357
5553957443,2016-04-20,1570,658
5553957443,2016-04-21,2066,399
5553957443,2016-04-22,2105,322
5553957443,2016-04-23,1776,631
5553957443,2016-04-24,1507,553
5553957443,2016-04-25,2033,433
5553957443,2016-04-26,2093,412
5553957443,2016-04-27,1922,347
5553957443,2016-04-28,1999,421
5553957443,2016-04-29,2169,450
5553957443,2016-04-30,1463,775
5553957443,2016-05-01,1747,622
5553957443,2016-05-02,1996,409
5553957443,2016-05-03,2116,380
5553957443,2016-05-04,1698,447
5553957443,2016-05-05,2156,419
5553957443,2016-05-06,1916,400
5553957443,2016-05-07,1494,442
5553957443,2016-05-08,1762,568
5553957443,2016-05-09,2272,453
5553957443,2016-05-10,2335,418
5553957443,2016-05-11,1693,463
5553957443,2016-05-12,741,438
5577150313,2016-04-12,3405,419
5577150313,2016-04-13,2551,432
5577150313,2016-04-14,4022,477
5577150313,2016-04-15,4005,392
5577150313,2016-04-16,4274,406
5577150313,2016-04-17,4552,549
5577150313,2016-04-18,3625,527
5577150313,2016-04-19,3501,449
5577150313,2016-04-20,3192,447
5577150313,2016-04-21,4018,414
5577150313,2016-04-22,3329,338
5577150313,2016-04-23,3152,384
5577150313,2016-04-24,4392,543
5577150313,2016-04-25,3374,421
5577150313,2016-04-26,3088,354
5577150313,2016-04-27,3294,424
5577150313,2016-04-28,3580,361
5577150313,2016-04-29,3544,459
5577150313,2016-04-30,4501,412
5577150313,2016-05-01,4546,379
5577150313,2016-05-02,3014,525
5577150313,2016-05-03,3795,508
5577150313,2016-05-04,2755,603
5577150313,2016-05-05,3004,74
5577150313,2016-05-10,3841,504
5577150313,2016-05-11,1665,431
6117666160,2016-04-16,2828,380
6117666160,2016-04-17,2225,336
6117666160,2016-04-18,2018,493
6117666160,2016-04-19,2606,465
6117666160,2016-04-20,2536,474
6117666160,2016-04-21,4900,508
6117666160,2016-04-22,2409,480
6117666160,2016-04-23,2651,492
6117666160,2016-04-24,2305,353
6117666160,2016-04-27,2576,542
6117666160,2016-04-28,1879,393
6117666160,2016-04-29,2560,600
6117666160,2016-05-01,2361,507
6117666160,2016-05-05,2636,392
6117666160,2016-05-06,1838,658
6117666160,2016-05-07,2469,498
6117666160,2016-05-08,2250,555
6117666160,2016-05-09,1248,492
6775888955,2016-04-13,2400,235
6775888955,2016-04-14,2507,423
6775888955,2016-04-15,2127,391
6962181067,2016-04-12,1994,366
6962181067,2016-04-13,1718,630
6962181067,2016-04-14,1466,508
6962181067,2016-04-15,1756,370
6962181067,2016-04-16,2173,357
6962181067,2016-04-17,2027,427
6962181067,2016-04-18,2039,442
6962181067,2016-04-19,2046,476
6962181067,2016-04-20,2174,418
6962181067,2016-04-21,2179,451
6962181067,2016-04-22,2086,425
6962181067,2016-04-23,2571,528
6962181067,2016-04-24,1705,511
6962181067,2016-04-25,2194,400
6962181067,2016-04-26,2012,441
6962181067,2016-04-27,2034,455
6962181067,2016-04-28,2182,440
6962181067,2016-04-29,2254,433
6962181067,2016-04-30,2002,422
6962181067,2016-05-01,1740,411
6962181067,2016-05-02,2162,466
6962181067,2016-05-03,2072,394
6962181067,2016-05-04,2086,442
6962181067,2016-05-05,2066,467
6962181067,2016-05-06,1850,443
6962181067,2016-05-07,1947,298
6962181067,2016-05-08,1659,541
6962181067,2016-05-09,2105,489
6962181067,2016-05-10,2361,469
6962181067,2016-05-11,1855,452
6962181067,2016-05-12,928,516
7007744171,2016-04-16,2076,79
7007744171,2016-05-01,2225,58
7086361926,2016-04-12,2772,514
7086361926,2016-04-13,2516,451
7086361926,2016-04-14,2734,472
7086361926,2016-04-15,2395,377
7086361926,2016-04-19,2944,472
7086361926,2016-04-20,2997,492
7086361926,2016-04-21,2463,390
7086361926,2016-04-22,2846,428
7086361926,2016-04-24,2049,681
7086361926,2016-04-25,2752,446
7086361926,2016-04-26,2781,485
7086361926,2016-04-27,2693,469
7086361926,2016-04-28,2862,354
7086361926,2016-04-30,2995,485
7086361926,2016-05-01,2730,388
7086361926,2016-05-02,2754,440
7086361926,2016-05-03,2754,456
7086361926,2016-05-04,2655,420
7086361926,2016-05-06,2924,322
7086361926,2016-05-07,2739,530
7086361926,2016-05-08,2534,481
7086361926,2016-05-09,2960,427
7086361926,2016-05-11,2735,451
7086361926,2016-05-12,1199,444
8053475328,2016-04-20,3043,486
8053475328,2016-04-23,3554,331
8053475328,2016-05-07,3331,74
8378563200,2016-04-12,3635,338
8378563200,2016-04-13,4079,447
8378563200,2016-04-14,4163,424
8378563200,2016-04-15,3666,513
8378563200,2016-04-16,3363,611
8378563200,2016-04-17,2572,525
8378563200,2016-04-18,4157,398
8378563200,2016-04-19,4092,387
8378563200,2016-04-20,3787,381
8378563200,2016-04-21,4236,396
8378563200,2016-04-22,4044,441
8378563200,2016-04-23,2908,565
8378563200,2016-04-24,2741,458
8378563200,2016-04-25,4005,388
8378563200,2016-04-26,3763,550
8378563200,2016-04-27,3061,531
8378563200,2016-04-28,2884,506
8378563200,2016-04-29,2982,527
8378563200,2016-04-30,2660,468
8378563200,2016-05-01,3369,475
8378563200,2016-05-02,3491,351
8378563200,2016-05-03,3784,405
8378563200,2016-05-04,3110,441
8378563200,2016-05-05,3783,381
8378563200,2016-05-06,3644,323
8378563200,2016-05-07,2799,459
8378563200,2016-05-08,2685,545
8378563200,2016-05-09,3721,359
8378563200,2016-05-10,3586,342
8378563200,2016-05-11,3788,368
8378563200,2016-05-12,1976,496
8792009665,2016-04-12,2044,458
8792009665,2016-04-13,1934,531
8792009665,2016-04-14,1963,486
8792009665,2016-04-15,2009,363
8792009665,2016-04-20,2188,528
8792009665,2016-04-22,2419,391
8792009665,2016-04-23,2748,339
8792009665,2016-04-27,2067,423
8792009665,2016-04-28,2780,402
8792009665,2016-04-29,3101,398
8792009665,2016-04-30,2896,343
8792009665,2016-05-01,1962,503
8792009665,2016-05-02,2015,415
8792009665,2016-05-03,2297,516
8792009665,2016-05-04,2067,439