Id,ActivityDate,SedentaryMinutes,WeightPounds
1503960366,2016-05-02,798,115.96
1503960366,2016-05-03,816,115.96
1927972279,2016-04-13,986,294.32
2873212765,2016-04-21,1057,125.0
2873212765,2016-05-12,720,126.32
4319703577,2016-04-17,1363,159.61
4319703577,2016-05-04,1106,159.39
4558609924,2016-04-18,1080,153.66
4558609924,2016-04-25,993,154.98
4558609924,2016-05-01,1121,154.1
4558609924,2016-05-02,1057,152.56
4558609924,2016-05-09,1065,152.34
5577150313,2016-04-17,525,199.96
6962181067,2016-04-12,796,137.79
6962181067,2016-04-13,548,136.91
6962181067,2016-04-14,862,136.03
6962181067,2016-04-15,837,135.58
6962181067,2016-04-16,741,136.69
6962181067,2016-04-17,634,135.36
6962181067,2016-04-18,689,134.92
6962181067,2016-04-19,659,135.36
6962181067,2016-04-20,639,136.03
6962181067,2016-04-21,708,135.36
6962181067,2016-04-22,659,135.36
6962181067,2016-04-23,484,135.58
6962181067,2016-04-24,720,135.58
6962181067,2016-04-25,637,136.03
6962181067,2016-04-27,697,134.92
6962181067,2016-04-28,621,134.92
6962181067,2016-04-29,645,135.36
6962181067,2016-04-30,731,134.48
6962181067,2016-05-01,722,136.03
6962181067,2016-05-02,655,135.58
6962181067,2016-05-03,654,134.48
6962181067,2016-05-04,683,134.7
6962181067,2016-05-05,591,135.14
6962181067,2016-05-06,717,135.58
6962181067,2016-05-07,745,134.92
6962181067,2016-05-08,709,134.92
6962181067,2016-05-09,607,137.57
6962181067,2016-05-10,626,136.91
6962181067,2016-05-11,709,136.47
6962181067,2016-05-12,127,136.47
8877689391,2016-04-12,1036,189.16
8877689391,2016-04-13,1098,187.17
8877689391,2016-04-14,1061,186.29
8877689391,2016-04-16,888,188.5
8877689391,2016-04-18,1215,189.16
8877689391,2016-04-19,1131,188.05
8877689391,2016-04-20,1123,187.17
8877689391,2016-04-21,1119,186.29
8877689391,2016-04-23,1032,188.5
8877689391,2016-04-24,1148,188.5
8877689391,2016-04-25,1101,188.27
8877689391,2016-04-26,1157,187.61
8877689391,2016-04-27,1104,188.27
8877689391,2016-04-28,1143,187.61
8877689391,2016-04-29,1207,187.17
8877689391,2016-04-30,1089,188.5
8877689391,2016-05-01,1226,188.05
8877689391,2016-05-03,1189,187.17
8877689391,2016-05-04,1154,186.07
8877689391,2016-05-06,1095,187.39
8877689391,2016-05-08,1174,188.27
8877689391,2016-05-09,1131,188.5
8877689391,2016-05-11,1127,188.27
8877689391,2016-05-12,770,185.19